anime;anime_img;episodes;rate
Naruto Shippuuden;https://img1.ak.crunchyroll.com/i/spire4/1c1df98707aa0f22aa54342af725e48a1491245343_full.jpg;500;481
Shugo Chara;https://img1.ak.crunchyroll.com/i/spire1/7c0c0cd3958894b2dafc740ba847e4f11279141777_full.jpg;51;486
BLEACH;https://img1.ak.crunchyroll.com/i/spire2/52edb7a843abacb4ff0f642c8eda14401325114125_full.jpg;366;483
Naruto;https://img1.ak.crunchyroll.com/i/spire2/0145388e3ecfdb5a63ce1e9feaeef44a1279141923_full.jpg;220;48
Skip Beat!;https://img1.ak.crunchyroll.com/i/spire3/4bbe3a679c7365d16dd49c9d78ae992e1279142023_full.jpg;0;491
REBORN!;https://img1.ak.crunchyroll.com/i/spire1/445d2fd74c924440b1ca61600789e2861383180162_full.jpg;0;488
Gintama;https://img1.ak.crunchyroll.com/i/spire2/54c15675670ba44c1f98c3e11ba0cddf1515030877_full.jpg;379;487
La Corda d'Oro ~primo passo~ and ~secondo passo~;https://img1.ak.crunchyroll.com/i/spire2/383071a2c629ff64fb33669a793eac311293594874_full.png;0;486
Eyeshield 21;https://img1.ak.crunchyroll.com/i/spire3/f7adee8b50d73664021c3e4e3042e8101279142732_full.jpg;0;485
Hayate the Combat Butler! (S1 e S2);https://img1.ak.crunchyroll.com/i/spire4/8ad9366eab2ceca1a872a26c5b96574f1446849740_full.jpg;77;485
Natsume Yuujinchou;https://img1.ak.crunchyroll.com/i/spire1/3b7183aa0e0b39430cd4f294ab4a9f231327959666_full.jpg;39;489
"Myself Yourself";https://img1.ak.crunchyroll.com/i/spire3/ce637f84d074ecb1d1a7d65ff85464f21273802656_full.jpg;0;48
Blue Exorcist;https://img1.ak.crunchyroll.com/i/spire1/e0c8a39fa014e57a95ef3682a4cc61d31483733959_full.jpg;12;482
Durarara!!;https://img1.ak.crunchyroll.com/i/spire4/4e653adda1d5c4622bd496dc10cacf211451958742_full.jpg;62;485
Time of Eve;https://img1.ak.crunchyroll.com/i/spire2/afbe92137e5717d72f8f0ec9a9dca9321423792090_full.jpg;6;487
Tegami Bachi Letter Bee;https://img1.ak.crunchyroll.com/i/spire1/beef79da8c22ef118f47afa068143cf21529088431_full.jpg;0;483
School Days;https://img1.ak.crunchyroll.com/i/spire1/ee4f69cccf34b06057eb7d3ae48f57191345364926_full.jpg;0;413
Sword Art Online;https://img1.ak.crunchyroll.com/i/spire1/1695b24f123889418228be89e00b9a0d1570828158_full.jpg;89;44
The World God Only Knows;https://img1.ak.crunchyroll.com/i/spire3/4462386a1d99869f81bcc2cf3effc7671375831867_full.jpg;36;477
Demon King Daimao;https://img1.ak.crunchyroll.com/i/spire4/d876e77fc48e04830e37083c768453cf1279145332_full.jpg;0;472
Neo Angelique Abyss;https://img1.ak.crunchyroll.com/i/spire4/a2fa03b20ae43176088bddfbbd60ae901279148471_full.jpg;0;475
Happiness!;https://img1.ak.crunchyroll.com/i/spire3/2ccca23700d511a033d047ca0ae037ec1279142545_full.jpg;0;473
Linebarrels of Iron;https://img1.ak.crunchyroll.com/i/spire1/7693af688a4ecab8da7f349ffa7d25691279142985_full.jpg;0;458
Beelzebub;https://img1.ak.crunchyroll.com/i/spire3/be709d61c2952bd6f73cbcf949b8e8931293503784_full.jpg;0;479
